-2.5,0,908476
-2.5,3,146446
-2.5,1,105201
-2.5,4,969482
-2.5,6,538036
-2.5,10,197509
-2.5,2,840586
-2.5,5,447262
-2.5,9,722414
-2.5,8,117559
-2.5,7,234542
-2.5,15,452282
-2.5,11,860599
-2.5,14,974217
-2.5,12,698801
-2.5,18,679396
-2.5,16,899247
-2.5,25,579305
-2.5,19,257855
-2.5,13,359996
-2.5,21,279520
-2.5,29,348469
-2.5,24,453727
-2.5,17,787256
-2.5,20,701331
-2.5,23,528115
-2.5,28,469373
-2.5,22,277826
-2.5,27,968993
-2.5,26,882725
-2.5,2,334440
-2.5,0,205909
-2.5,4,157420
-2.5,1,62867
-2.5,6,84446
-2.5,3,326571
-2.5,8,29874
-2.5,7,232679
-2.5,5,859227
-2.5,9,997458
-2.5,13,709941
-2.5,11,401946
-2.5,17,686095
-2.5,10,814917
-2.5,16,743075
-2.5,12,149944
-2.5,14,390808
-2.5,18,227906
-2.5,25,762783
-2.5,20,634216
-2.5,23,946368
-2.5,15,997489
-2.5,29,617836
-2.5,22,334777
-2.5,27,720241
-2.5,19,848772
-2.5,26,869652
-2.5,24,33135
-2.5,28,132097
-2.5,21,298999
